出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"1131017","11309","1101","台泥","水泥工業","13325249","13004435","8735157","2.466958387657749","52.54733257799488","105591346","80942003","30.453092444475335","2024/3/6起併入OYAK及Cimpor，以致營收較去年同期增加。"
"1131017","11309","1102","亞泥","水泥工業","6496635","6734055","6691905","-3.5256617298195514","-2.9180031695010613","55437813","60239086","-7.970361635301041","-"
"1131017","11309","1103","嘉泥","水泥工業","249964","267388","232979","-6.51637321046569","7.290356641585722","2213179","2115231","4.630605357050838","-"
"1131017","11309","1104","環泥","水泥工業","599242","652544","618592","-8.168338073754413","-3.1280714913868914","5873438","5627754","4.365578168484266","-"
"1131017","11309","1108","幸福","水泥工業","417664","382273","404171","9.258043335521997","3.3384384332374166","3554990","3690507","-3.672042892751592","-"
"1131017","11309","1109","信大","水泥工業","317761","359275","490929","-11.554937025955049","-35.27353242525905","3532176","4625786","-23.64160382689558","-"
"1131017","11309","1110","東泥","水泥工業","289245","327212","169364","-11.603180812439641","70.7830471646867","2072159","1641523","26.23393031958736","主要係因子公司東泥建設(股)公司認列收入所致。"
"1131017","11309","1201","味全","食品工業","2134895","2217179","1944806","-3.7112023882600367","9.774188273791832","17746412","15990330","10.98214983680762","-"
"1131017","11309","1203","味王","食品工業","467801","496672","544257","-5.812890599832485","-14.047775223837268","4518463","4718897","-4.247475628308903","-"
"1131017","11309","1210","大成","食品工業","8614876","9027255","9291296","-4.568154992852201","-7.280146924605567","76835366","83153484","-7.598139844627556","-"
"1131017","11309","1213","大飲","食品工業","18428","25897","-5934","-28.841178514885893","410.5493764745534","139138","108491","28.248426136730235","本月積極推展業務,致使9月營收成長"
"1131017","11309","1215","卜蜂","食品工業","2273593","2417581","2437231","-5.955870765033312","-6.71409480677047","20631062","21950444","-6.010730352424762","-"
"1131017","11309","1216","統一","食品工業","57852278","61624958","53366181","-6.122000115602513","8.406254515383067","499799857","433851392","15.200703793062855","-"
"1131017","11309","1217","愛之味","食品工業","487276","695333","485332","-29.921922301976174","0.4005505509630521","4061918","3956145","2.6736380997157587","-"
"1131017","11309","1218","泰山","食品工業","985528","1025513","1070356","-3.899024195695228","-7.925213667228474","8278022","8585966","-3.5865970119145594","-"
"1131017","11309","1219","福壽","食品工業","1171870","1163022","1310734","0.7607766663055385","-10.594369261802928","10573152","12399958","-14.732356351529578","-"
"1131017","11309","1220","台榮","食品工業","273209","294205","295646","-7.136520453425333","-7.589143773296442","2414616","2354794","2.5404345348255517","-"
"1131017","11309","1225","福懋油","食品工業","1030261","1077680","1184327","-4.400100215277262","-13.008738296095588","9557276","10912671","-12.420378109080719","-"
"1131017","11309","1227","佳格","食品工業","2895023","2599750","3116707","11.357745937109337","-7.112763567444742","20787299","20129635","3.267143194598412","-"
"1131017","11309","1229","聯華","食品工業","916900","918462","861221","-0.17006691621427997","6.465123353935866","9774038","9286729","5.247369660512329","-"
"1131017","11309","1231","聯華食","食品工業","920820","1148313","796194","-19.811061966554416","15.652717804957083","8740020","7989458","9.394404476498906","-"
"1131017","11309","1232","大統益","食品工業","1742432","1810031","1874068","-3.7346874169558424","-7.024078101755112","16376348","17707757","-7.518789646819752","-"
"1131017","11309","1233","天仁","食品工業","183712","185428","189526","-0.9254265806674289","-3.067652986925277","1650776","1570399","5.118253386559721","-"
"1131017","11309","1234","黑松","食品工業","944042","1119093","1017186","-15.64222097716633","-7.19081859168333","7975733","7964124","0.1457661884722036","-"
"1131017","11309","1235","興泰","食品工業","13412","13339","6548","0.5472674113501762","104.82590103848503","73606","39514","86.27828111555398","增加子公司泰宇網通營收941.9萬"
"1131017","11309","1236","宏亞","食品工業","182447","158879","222123","14.833930223629302","-17.86217546134349","1420925","1421429","-0.0354572757415249","-"
"1131017","11309","1256","鮮活果汁-KY","食品工業","432465","419072","444032","3.195870876603543","-2.6049924329778036","3369716","3930896","-14.276134499615354","-"
"1131017","11309","1301","台塑","塑膠工業","16641520","16140806","16588777","3.1021623083754304","0.31794387253502776","149709593","151395932","-1.1138601795456433","-"
"1131017","11309","1303","南亞","塑膠工業","21428221","22463979","22141297","-4.610750392884538","-3.220570140945221","191459552","196763386","-2.6955390979092013","-"
"1131017","11309","1304","台聚","塑膠工業","4138650","4233703","4506836","-2.245150403795448","-8.169500731777237","38388005","39437006","-2.659940767308756","-"
"1131017","11309","1305","華夏","塑膠工業","921273","643628","966666","43.13749557197636","-4.695830824710914","8542673","10485901","-18.53181715143029","-"
"1131017","11309","1307","三芳","塑膠工業","923027","1102715","838162","-16.29505357231923","10.125130941273882","8212745","7671609","7.053748437909179","-"
"1131017","11309","1308","亞聚","塑膠工業","382991","469189","572692","-18.37170095633103","-33.12443687008025","4478413","5039561","-11.134858770436551","-"
"1131017","11309","1309","台達化","塑膠工業","1678546","1885923","1491814","-10.996048088919855","12.51711004186849","13919322","11145874","24.883180986973297","-"
"1131017","11309","1310","台苯","塑膠工業","961410","1037809","806466","-7.361566531028349","19.212713245195705","8692013","6945191","25.151532909606086","-"
"1131017","11309","1312","國喬","塑膠工業","1200035","1506252","1366098","-20.32973234226411","-12.156009305335342","12625069","11984991","5.3406631677904475","-"
"1131017","11309","1313","聯成","塑膠工業","5094421","5639666","7063372","-9.668037078791546","-27.87551045024954","55210967","53343667","3.5005092544537666","-"
"1131017","11309","1314","中石化","塑膠工業","2068523","2826544","2110222","-26.817944457967045","-1.9760480176967163","24010072","19039599","26.105975236138114","-"
"1131017","11309","1315","達新","塑膠工業","175583","176634","134277","-0.5950156821450004","30.761783477438428","1525005","1693032","-9.924620444268035","-"
"1131017","11309","1316","上曜","建材營造","154633","84224","77620","83.59731193009118","99.21798505539809","967709","662436","46.08339522610486","主因本月新增房地收入及子公司營收上升，致本月營收較去年同期增加。"
"1131017","11309","1319","東陽","汽車工業","2171105","2127240","2156228","2.062061638555123","0.6899548656264551","18675484","17303529","7.928758347502408","-"
"1131017","11309","1321","大洋","塑膠工業","344278","339149","357833","1.512314646364872","-3.7880799143734647","3467923","3608325","-3.891057485121213","-"
"1131017","11309","1323","永裕","塑膠工業","189504","193855","278061","-2.244461066260865","-31.84804773053395","2126770","2506421","-15.147136095651927","本月營收較去年同期減少主要係今年7月份精奕公司董事會暨營運團隊重組下，其已非本公司合併財務報告之子公司。"
"1131017","11309","1324","地球","塑膠工業","59058","61453","77612","-3.89728735781817","-23.906096995310005","587245","698240","-15.896396654445462","-"
"1131017","11309","1325","恆大","塑膠工業","23142","23387","31793","-1.047590541753966","-27.21039222470355","244845","309927","-20.99913850680967","-"
"1131017","11309","1326","台化","塑膠工業","27508402","29371521","30995485","-6.343284026727796","-11.250293389504955","267315493","245021791","9.098660943181171","-"
"1131017","11309","1337","再生-KY","塑膠工業","54485","57355","66442","-5.0039229360997295","-17.99614701544204","616906","539584","14.3299282410153","-"
"1131017","11309","1338","廣華-KY","汽車工業","451843","355935","501571","26.945369238765505","-9.914448801864541","3668203","4190637","-12.466696590518339","-"
"1131017","11309","1339","昭輝","汽車工業","159246","163417","163839","-2.552366032909673","-2.803361836925274","1430592","1505203","-4.956872926774661","-"
"1131017","11309","1340","勝悅-KY","塑膠工業","30893","25196","48654","22.61073186220035","-36.50470670448473","288327","431401","-33.16496716512015","-"
"1131017","11309","1341","富林-KY","塑膠工業","206337","223731","221362","-7.774514930876812","-6.787524507368022","1998767","1879548","6.342961180028389","-"
"1131017","11309","1342","八貫","其他","212103","210514","240631","0.7548191569206799","-11.855496590214893","1847575","1916119","-3.577230850484756","-"
"1131017","11309","1402","遠東新","紡織纖維","22602356","22820578","23162130","-0.956250976640469","-2.4167639159265577","200195390","190264302","5.219627589415065","-"
"1131017","11309","1409","新纖","紡織纖維","3751001","3869327","3829791","-3.0580511804766046","-2.05729242144023","34002718","29757405","14.266408646856135","-"
"1131017","11309","1410","南染","紡織纖維","20499","23137","16372","-11.401651035138523","25.207671634497924","175216","166013","5.543541770825176","-"
"1131017","11309","1413","宏洲","紡織纖維","205423","223484","202309","-8.08156288593367","1.5392295943334207","1747106","1450310","20.46431452585999","-"
"1131017","11309","1414","東和","紡織纖維","37721","39468","48748","-4.426370730718557","-22.620415196520884","405266","421819","-3.9241949746218165","-"
"1131017","11309","1416","廣豐","其他","28518","25265","25319","12.875519493370275","12.634780204589438","239001","212254","12.601411516390739","-"
"1131017","11309","1417","嘉裕","紡織纖維","32097","50209","94040","-36.073213965623694","-65.86877924287538","485318","1117061","-56.55402883101281","因結束國軍服裝供售業務，致使營收減少"
"1131017","11309","1418","東華","紡織纖維","89","711","1137","-87.48241912798875","-92.17238346525946","7197","16997","-57.657233629464024","因配合客戶生產線出貨及去年同期銷庫存。"
"1131017","11309","1419","新紡","紡織纖維","395516","476876","334093","-17.061038928358734","18.385000583669818","2885545","2328457","23.925200250638085","-"
"1131017","11309","1423","利華","紡織纖維","5322","10436","6637","-49.003449597546954","-19.813168600271208","88512","91275","-3.027115858668858","-"
"1131017","11309","1432","大魯閣","運動休閒","98050","117702","107050","-16.696402779901785","-8.407286314806166","965776","1006254","-4.022642394465016","-"
"1131017","11309","1434","福懋","紡織纖維","2366216","2440336","2407270","-3.0372866687210287","-1.7054173399743278","21882926","22025137","-0.6456758929581232","-"
"1131017","11309","1435","中福","其他","990","991","676","-0.10090817356205853","46.44970414201183","8679","6613","31.24149402691668","-"
"1131017","11309","1436","華友聯","建材營造","1524020","1338989","61767","13.81870948902493","2367.3693072352553","6125339","297331","1960.1077586931735","本月及累計營收較去年同期增加，係今年交屋數量較去年同期增加所致。"
"1131017","11309","1437","勤益控","其他","66233","67733","126347","-2.2145778276467896","-47.57849414707116","638158","676635","-5.686522275672999","-"
"1131017","11309","1438","三地開發","建材營造","1164987","0","0","","","1166647","299747","289.210567578658","113年銷售土地地上權，故營收變化大。"
"1131017","11309","1439","雋揚","建材營造","4843","4818","4941","0.518887505188875","-1.983404169196519","78136","147441","-47.005242775076134","-"
"1131017","11309","1440","南紡","紡織纖維","1335209","1640302","1477426","-18.599806620975894","-9.625998188741772","13190934","15017500","-12.162916597303147","-"
"1131017","11309","1441","大東","紡織纖維","121556","196730","74396","-38.21176231383114","63.390504865853","1182325","874366","35.22083429593557","因奧運年需求增加, 本期出貨較多"
"1131017","11309","1442","名軒","建材營造","744619","783468","145188","-4.958594352290074","412.86538832410395","7454217","1030850","623.1136440801281","本月認收63戶，去年同期認收10戶；本年累計認收635戶，去年累計認收72戶，故兩期差異大。"
"1131017","11309","1443","立益物流","其他","84757","78106","91268","8.51535093334699","-7.133935223736688","670993","570375","17.64067499452115","-"
"1131017","11309","1444","力麗","紡織纖維","710908","693298","683136","2.540033290158056","4.065369121229155","6112924","6554198","-6.732692543008313","-"
"1131017","11309","1445","大宇","紡織纖維","76198","96901","86848","-21.365104591283888","-12.262803979366248","779637","1051615","-25.8628870832006","-"
"1131017","11309","1446","宏和","紡織纖維","385413","623695","7358","-38.20489181410786","5138.013047023648","3056042","98488","3002.9587360896758","營建銷售增加營收"
"1131017","11309","1447","力鵬","紡織纖維","1892762","2981826","1328742","-36.523392042325746","42.44766854664036","25533079","22543324","13.26226336453311","-"
"1131017","11309","1449","佳和","紡織纖維","215637","221819","236451","-2.7869569333555737","-8.802669474859485","2225756","2034578","9.39644486473362","-"
"1131017","11309","1451","年興","紡織纖維","446175","525555","461901","-15.104032879527356","-3.4046256665389336","4949656","4886282","1.2969779476501766","-"
"1131017","11309","1452","宏益","紡織纖維","154158","151258","93126","1.9172539634267278","65.53701436763095","1242672","834721","48.87273711815086","因上期市場需求疲弱，致本期營業收入淨額較去年同期增加。"
"1131017","11309","1453","大將","建材營造","114","115","57","-0.8695652173913043","100.0","1031","513","100.97465886939571","本月營收較去年同期增加，係因本月房屋出租金額較高所致. ."
"1131017","11309","1454","台富","紡織纖維","138676","148457","138803","-6.588439750230706","-0.09149658148599094","1232701","1169212","5.430067430029798","-"
